Name|Address|Category|Lng|Lat
朝煇實業有限公司高雄廠|高雄市岡山區灣裡里灣裡路１６０號|化學製品製造業|22.8123696|120.2861199
朝盛印刷局|高雄市前金區文東里仁義街２０８號|印刷及資料儲存媒體複製業|22.6201444|120.3012637
朝進有限公司二廠|高雄市岡山區為隨里為隨西路６９巷５號|金屬製品製造業|22.8154962|120.2891348
朝進有限公司|高雄市岡山區為隨里為隨西路６９巷１５號|金屬製品製造業|22.815409|120.2886572
朝陽國際家具有限公司|高雄市小港區光陽街６－１號|家具製造業|22.558788|120.365591
朝陽鋼鐵工業股份有限公司|高雄市小港區店鎮里光陽街１號|金屬製品製造業|22.558788|120.365591
朝龍企業有限公司大社廠|高雄市保社里旗楠路９９之２１號|機械設備製造業,汽車及其零件製造業,其他運輸工具及其零件製造業|22.7493783|120.3455338
期暉實業有限公司|高雄市鳥松區水管路１７巷１６之１號|機械設備製造業|22.6580942|120.3750351
期發塑膠企業股份有限公司大發二廠|高雄市大寮區田單一街5號|塑膠製品製造業|22.5769523|120.4321926
期發塑膠企業股份有限公司|高雄市大寮區潮寮里華東路１３之１號|塑膠製品製造業,基本金屬製造業|22.5715902|120.4322714
木再生企業有限公司|高雄市永安區維新路光明3巷1弄6號1樓|家具製造業|22.8080905|120.2531562
木葉科技實業股份有限公司|高雄市大樹區九曲里瓦厝街３巷１７號|化學製品製造業|22.6444161|120.4167407
木貴工業股份有限公司|高雄市燕巢區鳳雄里後龍巷１４２號|金屬製品製造業|22.7524694|120.3570547
本億模具股份有限公司二廠|高雄市路竹區三爺里民族路６號|金屬製品製造業|22.8374651|120.2778377
本億模具股份有限公司|高雄市路竹區三爺里民族路１４７號|金屬製品製造業|22.8336807|120.27923
本原企業股份有限公司壹廠|高雄市大社區保社里旗楠路１０７號|塑膠製品製造業,金屬製品製造業,機械設備製造業,其他製造業|22.7482049|120.3472638
本原企業股份有限公司貳廠|高雄市大社區保社里旗楠路９６之１、２號|金屬製品製造業|22.7408181|120.3379812
本原企業股份有限公司|高雄市大社區保社里旗楠路１１３號|基本金屬製造業,金屬製品製造業,機械設備製造業,家具製造業|22.7499668|120.3500948
